id	NY AGI of All Returns	Taxable Income of All Returns
20511	1377006.75	1111448.25
20512	2863264.00	2431551.25
20513	479068.00	428223.31
20514	917184.12	846797.25
20515	1197004.25	1163936.75
20517	-10280.89	811.18
20518	33618.29	5811.01
20519	107554.80	38476.29
20520	146814.89	82854.99
20521	159850.77	106251.21
20522	160116.45	114755.25
20523	157067.88	117035.94
20524	225369.84	174027.50
20525	336082.25	269928.66
20526	660973.19	560294.50
20527	123552.39	110302.26
20528	222813.78	205345.59
20529	365239.19	355298.72
20530	2688772.75	2141193.25
20531	-61724.83	2416.03
20532	101127.02	18042.45
20533	343502.28	109651.10
20534	437224.00	230524.64
20535	476381.94	303749.66
20536	475863.44	332700.31
20537	470190.75	343799.84
20538	730075.75	550013.00
20539	1229191.00	955300.12
20540	3199739.00	2617754.75
20541	582023.88	507510.69
20542	740628.88	674920.69
20543	1010648.25	985235.19
20545	423.86	205.70
20546	11695.07	1720.77
20547	40975.28	13958.75
20548	61087.33	34144.00
20549	64086.82	42427.67
20550	59989.01	42943.60
20551	55444.19	41256.40
20552	81311.90	63298.14
20553	104304.78	83977.77
20554	136201.75	116894.51
20555	12379.15	11266.86
20556	18292.21	17177.67
20557	9696.29	9506.18
20558	655887.62	478778.00
20559	962.37	740.30
20560	35653.49	4869.94
20561	117889.98	39364.28
20562	153147.36	84344.36
20563	172745.44	114189.93
20564	171184.62	122000.02
20565	162834.38	121878.04
20566	236477.02	183827.20
20567	338130.22	274349.00
20568	525493.81	451110.66
20569	50649.32	45668.39
20570	57023.94	52939.00
20571	43315.78	42277.73
20572	2065507.75	1537558.88
20573	-7685.99	337.80
20574	17361.77	2183.98
20575	57412.37	19405.68
20576	84424.37	46412.59
20577	87019.28	56993.96
20578	82463.67	59203.77
20579	78907.48	58977.18
20580	107325.55	83095.62
20581	149424.14	120777.92
20582	221793.16	189604.27
20583	32396.17	29028.55
20584	74330.43	69050.02
20585	89305.47	85505.85
20586	1074477.88	820577.19
20587	-32737.24	804.99
20588	23938.98	5155.66
20589	70028.45	25102.41
20590	92237.27	48335.75
20591	112293.01	71065.68
20592	126064.07	86947.28
20593	140221.64	100438.81
20594	211076.09	157174.02
20595	371303.72	284339.03
20596	1232586.88	1001875.19
